applicant_id,monthly_income_aed,family_size,employment_status,years_employment,total_liabilities_aed,total_assets_aed,credit_score,income_per_capita,debt_to_asset_ratio,eligibility_label
APP0001,8949.0,4,Employed,15,11222.0,126611.0,487,2237.0,0.09,Approved
APP0002,5908.0,7,Part-time,23,47769.0,93235.0,427,844.0,0.51,Approved
APP0003,5520.0,6,Self-Employed,24,34087.0,97671.0,500,920.0,0.35,Approved
APP0004,5520.0,6,Self-Employed,11,36046.0,73156.0,426,920.0,0.49,Approved
APP0005,16265.0,1,Employed,10,45552.0,104546.0,556,16265.0,0.44,Declined
APP0006,10512.0,6,Unemployed,4,14418.0,101702.0,846,1752.0,0.14,Approved
APP0007,4639.0,6,Employed,24,35509.0,149932.0,493,773.0,0.24,Approved
APP0008,9202.0,3,Part-time,17,18493.0,41074.0,403,3067.0,0.45,Approved
APP0009,7628.0,6,Employed,18,12083.0,154859.0,834,1271.0,0.08,Approved
APP0010,1183.0,1,Employed,22,34006.0,140300.0,564,1183.0,0.24,Approved
APP0011,2975.0,2,Employed,22,33583.0,106218.0,683,1488.0,0.32,Approved
APP0012,7989.0,7,Employed,5,44415.0,85305.0,559,1141.0,0.52,Approved
APP0013,15358.0,3,Self-Employed,21,5828.0,77389.0,713,5119.0,0.08,Declined
APP0014,5553.0,2,Employed,17,42609.0,77911.0,657,2776.0,0.55,Declined
APP0015,4380.0,3,Unemployed,5,6909.0,85316.0,374,1460.0,0.08,Approved
APP0016,7002.0,5,Employed,3,30526.0,19364.0,654,1400.0,1.58,Approved
APP0017,4192.0,4,Self-Employed,11,18005.0,337484.0,883,1048.0,0.05,Declined
APP0018,5295.0,5,Employed,18,56480.0,173812.0,487,1059.0,0.32,Approved
APP0019,6441.0,6,Employed,1,6186.0,263467.0,589,1074.0,0.02,Approved
APP0020,2859.0,2,Self-Employed,16,28556.0,130411.0,344,1430.0,0.22,Approved
APP0021,10851.0,6,Employed,10,33775.0,49269.0,872,1808.0,0.69,Approved
APP0022,2462.0,4,Employed,10,18609.0,118160.0,382,616.0,0.16,Approved
APP0023,2222.0,3,Part-time,20,28537.0,149064.0,422,741.0,0.19,Approved
APP0024,7409.0,4,Part-time,15,16807.0,36686.0,657,1852.0,0.46,Approved
APP0025,10337.0,1,Employed,1,27557.0,197185.0,827,10337.0,0.14,Declined
APP0026,7286.0,4,Employed,1,32804.0,58912.0,365,1822.0,0.56,Approved
APP0027,6003.0,1,Self-Employed,22,16138.0,138970.0,674,6003.0,0.12,Declined
APP0028,5259.0,4,Employed,7,22547.0,215919.0,461,1315.0,0.1,Approved
APP0029,4671.0,7,Employed,12,2671.0,102596.0,679,667.0,0.03,Approved
APP0030,12375.0,1,Employed,9,17926.0,216932.0,657,12375.0,0.08,Declined
APP0031,8039.0,2,Unemployed,7,7946.0,20408.0,487,4020.0,0.39,Approved
APP0032,4944.0,6,Unemployed,3,21714.0,30378.0,621,824.0,0.71,Approved
APP0033,3946.0,6,Employed,14,53625.0,40931.0,749,658.0,1.31,Approved
APP0034,9593.0,5,Employed,0,59935.0,14741.0,773,1919.0,4.07,Approved
APP0035,12198.0,6,Employed,10,20936.0,217224.0,312,2033.0,0.1,Approved
APP0036,11541.0,3,Unemployed,6,8718.0,183591.0,483,3847.0,0.05,Approved
APP0037,3454.0,7,Employed,16,7970.0,51549.0,410,493.0,0.15,Approved
APP0038,5228.0,4,Employed,19,46730.0,323550.0,807,1307.0,0.14,Declined
APP0039,4605.0,5,Unemployed,23,21209.0,65649.0,589,921.0,0.32,Approved
APP0040,5714.0,3,Employed,17,26465.0,270472.0,594,1905.0,0.1,Approved
APP0041,10789.0,3,Unemployed,21,20816.0,274068.0,750,3596.0,0.08,Approved
APP0042,14517.0,1,Employed,21,36122.0,49160.0,514,14517.0,0.73,Declined
APP0043,8231.0,6,Employed,11,24444.0,149007.0,866,1372.0,0.16,Approved
APP0044,4047.0,2,Employed,8,41362.0,178112.0,326,2024.0,0.23,Approved
